"","code","focus_type","country","region","province","livestock_region","international_region","municipality","uvl","disease","n_affected_species","serotype","species","susceptible","affected","confirmation_date","outbreak_n","index","outbreak_id"
"11285","2007/3022","Secundario","España","EXTREMADURA","CÁCERES","CORIA",NA,"Zarza la Mayor","Badajoz","Bluetongue",1,"","Ovinos","122","7",2007-11-26,1,11285,"2007/3022_1"
"11286","2007/3021","Secundario","España","EXTREMADURA","CÁCERES","CORIA",NA,"Zarza la Mayor","Badajoz","Bluetongue",1,"","Ovinos","34","2",2007-11-26,1,11286,"2007/3021_1"
"11287","2007/3020","Secundario","España","EXTREMADURA","CÁCERES","CORIA",NA,"Zarza la Mayor","Badajoz","Bluetongue",1,"","Ovinos","277","8",2007-11-26,1,11287,"2007/3020_1"
"11288","2007/3019","Secundario","España","EXTREMADURA","CÁCERES","CORIA",NA,"Zarza la Mayor","Badajoz","Bluetongue",1,"","Ovinos","141","10",2007-11-26,1,11288,"2007/3019_1"
"11289","2007/3018","Secundario","España","EXTREMADURA","CÁCERES","CORIA",NA,"Zarza la Mayor","Badajoz","Bluetongue",1,"","Ovinos","47","3",2007-11-26,1,11289,"2007/3018_1"
"11290","2007/3017","Secundario","España","EXTREMADURA","CÁCERES","CORIA",NA,"Zarza la Mayor","Badajoz","Bluetongue",1,"","Ovinos","512","7",2007-11-26,1,11290,"2007/3017_1"
"11291","2007/3016","Secundario","España","EXTREMADURA","CÁCERES","CORIA",NA,"Zarza la Mayor","Badajoz","Bluetongue",1,"","Ovinos","526","6",2007-11-26,1,11291,"2007/3016_1"
"11292","2007/3015","Secundario","España","EXTREMADURA","CÁCERES","CORIA",NA,"Zarza la Mayor","Badajoz","Bluetongue",1,"","Ovinos","50","6",2007-11-26,1,11292,"2007/3015_1"
"11293","2007/3014","Secundario","España","EXTREMADURA","CÁCERES","CORIA",NA,"Zarza la Mayor","Badajoz","Bluetongue",1,"","Ovinos","482","25",2007-11-26,1,11293,"2007/3014_1"
"11294","2007/3013","Secundario","España","EXTREMADURA","CÁCERES","CORIA",NA,"Zarza la Mayor","Badajoz","Bluetongue",1,"","Ovinos","955","10",2007-11-26,1,11294,"2007/3013_1"
"11295","2007/3012","Secundario","España","EXTREMADURA","CÁCERES","CORIA",NA,"Villasbuenas de Gata","Badajoz","Bluetongue",1,"","Ovinos","51","8",2007-11-26,1,11295,"2007/3012_1"
"11296","2007/3011","Secundario","España","EXTREMADURA","CÁCERES","CORIA",NA,"Villa del Campo","Badajoz","Bluetongue",1,"","Ovinos","342","10",2007-11-26,1,11296,"2007/3011_1"
"11297","2007/3010","Secundario","España","EXTREMADURA","CÁCERES","CORIA",NA,"Villa del Campo","Badajoz","Bluetongue",1,"","Ovinos","675","4",2007-11-26,1,11297,"2007/3010_1"
